"ID","Code Site","Nom du Site","LONGITUDE","LATITUDE","Type","Typologie","Surface du Site (M²)","Hauteur (M)","T. Salle Equip.","Nbre Secteurs","Type Gardiennage","Commune","Etat","D. Mise en Air","Propriétaire"
"2710","10621","Sour El Ghozlane1","3.703160","36.130300","Terminal","Mât","150","9","Shelter","3","Non Gardé","SOUR GHOZLANE","On AIR","2006-11-08","Propriété Privée"
"2711","10622","Sour El Ghozlane2","3.688080","36.159210","HUB","Mât","50","9","Shelter","3","Non Gardé","SOUR GHOZLANE","On AIR","2005-12-28","Propriété Privée"
"2712","10623","Bordj O'Khriss1","3.978050","36.081890","Not HUB","Pylône","150","25","Shelter","3","Non Gardé","BORDJ OUKHRISS","On AIR","2006-05-21","Propriété Privée"
"2713","10624","Mesdour1","4.067930","36.080020","Not HUB","Mât","50","12","Shelter","3","Non Gardé","MEZDOUR","On AIR","2006-03-22","Propriété Privée"
"8937","10625","Taghedite1","3.990450","36.019410","Terminal","Mât","150","9","Shelter","3","Non Gardé","TAGUEDIT","On AIR","2006-05-21","Propriété Privée"
"2714","10626","Dirah1","3.754140","35.998620","Terminal","Mât","150","9","Shelter","3","Non Gardé","DIRAH","On AIR","2006-05-10","APC"
"2715","10627","Lakhdaria1","3.596140","36.561920","HUB","Pylône","220","40","Local Technique (LT)","3","Non Gardé","LAKHDARIA","On AIR","2006-02-27","Algérie Telecom"
"2716","10628","Lakhdaria2","3.595660","36.570370","Terminal","Mât","150","9","Shelter","3","Non Gardé","LAKHDARIA","On AIR","2006-04-26","Propriété Privée"
"2717","10629","Kadiria 2","3.691270","36.535740","Terminal","Mât","60","9","Shelter","3","Non Gardé","BOUIRA","On AIR","2015-06-22","Propriété Privée"
"2718","10630","Djebahia1","3.762000","36.477270","Terminal","Mât","60","9","Shelter","3","Non Gardé","DJEBAHIA","On AIR","2006-02-23","Propriété Privée"
"2719","10631","Aomar1","3.770800","36.496650","Not HUB","Mât","","9","Shelter","3","Non Gardé","AOMAR","On AIR","2013-04-29","Propriété Privée"
"2720","10632","Haizer1","3.999810","36.397640","Terminal","Pylône","","30","Local Technique (LT)","3","Non Gardé","HAIZER","On AIR","2014-01-16","Algérie Poste"
"2721","10633","Ras Bouira1","3.924770","36.356940","Not HUB","Pylône","130","25","Local Technique (LT)","3","Non Gardé","BOUIRA","On AIR","2005-10-03","Algérie Telecom"
"2722","10634","Ath Mansour1","4.308330","36.329880","Not HUB","Mât","","12","Shelter","2","Non Gardé","M'CHEDELLAH","On AIR","2006-03-22","Propriété Privée"
"2635","10635","Takerboust1","4.344270","36.421150","Not HUB","Pylône","150","22","Local Technique (LT)","3","Non Gardé","AGHBALOU","On AIR","2006-03-27","Algérie Telecom"
"2724","10636","Kadiria","3.714975","36.490680","HUB","Pylône","60","40","Shelter","2","Non Gardé","DJEBAHIA","On AIR","2005-12-27","Propriété Privée"
"2725","10637","Aomar","3.769620","36.498620","Terminal","Pylône","150","40","Shelter","2","Non Gardé","AOMAR","On AIR","2005-12-26","Propriété Privée"
"2726","10638","Ait Laaziz","3.883340","36.427050","Terminal","Pylône","50","40","Shelter","3","Non Gardé","AIT LAAZIZ","On AIR","2006-12-27","Propriété Privée"
"2727","10639","El-Mokrani","3.606906","36.431640","Terminal","Mât","50","12","Shelter","3","Non Gardé","EL MOKRANI","On AIR","","APC"
"2728","10640","Tkdjda","4.114740","36.440100","Not HUB","Pylône","150","25","Shelter","3","Non Gardé","EL ASNAM","On AIR","2014-10-28","APC"
"2730","10641","Lakhdaria","3.590960","36.565360","Terminal","Mât","","9","Shelter","3","Non Gardé","LAKHDARIA","On AIR","2011-05-04","Propriété Privée"
"732","10643","GUERROUMA","3.426850","36.435040","Not HUB","Pylône","150","40","LT + Shelter","3","Gardiennage ATM","GUERROUMA","On AIR","2018-05-02","Propriété Privée"
"10398","10644","AIN BEIDHA","3.468360","36.449690","Not HUB","Mât","50","9","Shelter","3","Non Gardé","GUERROUMA","On AIR","2018-04-25","Propriété Privée"
"2731","10646","Bouderbala","3.496227","36.562660","Terminal","Mât","64","9","Shelter","2","Non Gardé","LAKHDARIA","On AIR","2019-09-09","Propriété Privée"
"4201","10647","BOUKRAM","3.424180","36.541210","Not HUB","Pylône","150","21","Local Technique (LT)","3","Non Gardé","BOUKRAM","On AIR","2015-09-20","Algérie Telecom"
"2732","10648","BEN HAROUN","3.771700","36.454140","Not HUB","Pylône","50","35","Local Technique (LT)","2","Non Gardé","DJEBAHIA","On AIR","2014-10-18","Algérie Telecom"
"2733","10649","KADIRIA II","3.676100","36.538010","Terminal","Mât","50","9","Shelter","3","Non Gardé","KADIRIA","On AIR","2007-07-29","Propriété Privée"
"2734","10650","BOUIRA","3.897700","36.373500","Terminal","Mât","","9","BTS OutDoor","3","Non Gardé","BOUIRA","On AIR","2007-10-04","Propriété Privée"
"2735","10651","TAGHZOUT","3.960400","36.407650","Not HUB","Mât","60","9","Shelter","3","Non Gardé","TAGHZOUT","On AIR","2015-01-11","Propriété Privée"
"2736","10652","AIN TURK","3.820592","36.389340","HUB","Pylône","60","30","Shelter","3","Non Gardé","AIN TURK","On AIR","2007-11-14","Propriété Privée"
"2738","10653","Complexe Sémonterie","3.746100","36.179800","Not HUB","Pylône","","30","Shelter","3","Non Gardé","SOUR GHOZLANE","On AIR","2008-01-30","Propriété Privée"
"2740","10654","DECHMIA","3.577610","36.125450","Not HUB","Pylône","50","40","Shelter","2","Non Gardé","DECHMIA","On AIR","2008-06-16","Propriété Privée"
"2741","10655","HAKIMIA","3.776590","36.093240","Terminal","Pylône","60","30","Shelter","2","Non Gardé","EL HAKIMIA","On AIR","2014-10-01","Propriété Privée"
"10348","10656","ALGERIE POSTE","3.705150","36.149480","Not HUB","Pylône","60","35","Shelter","3","Non Gardé","SOUR GHOZLANE","On AIR","2007-06-07","Algérie Poste"
"794","10657","OULED EL BERD (route hachimia et bouira)","3.866180","36.279470","Not HUB","Pylône","60","30","Shelter","2","Non Gardé","OUED EL BERDI","On AIR","2014-10-14","Propriété Privée"
"795","10658","AHNIF","4.257261","36.329900","HUB","Pylône","50","30","Shelter","3","Non Gardé","HANIF","On AIR","2008-05-06","Propriété Privée"
"796","10659","SELLOUM","4.310640","36.414740","Terminal","Mât","60","6","Shelter","2","Non Gardé","AGHBALOU","On AIR","2011-06-07","Propriété Privée"
"797","10660","ARKOUB","3.502830","36.598620","Not HUB","Pylône","150","25","Shelter","2","Non Gardé","BOUDERBALA","On AIR","2008-10-30","Propriété Privée"
"798","10661","HAY OUEST","3.893150","36.377440","Terminal","Mât","60","9","Shelter","3","Non Gardé","BOUIRA","On AIR","2014-09-20","Propriété Privée"
"799","10662","CITE 340","3.881400","36.387270","Not HUB","Mât","80","","Local Technique (LT)","3","Non Gardé","BOUIRA","On AIR","2012-11-28","Propriété Privée"
"800","10663","OUED HOUSS","3.895570","36.367890","Not HUB","Mât","50","9","Shelter","3","Non Gardé","BOUIRA","On AIR","2014-09-20","Propriété Privée"
"818","10664","ISLEN","4.183430","36.417240","Terminal","Pylône","","40","Shelter","3","Non Gardé","EL ADJIBA","On AIR","2014-09-20","Propriété Privée"
