"site ID","adresse site","commune","LATITUDE","LONGITUDE","TYPE d'equipement d'acces (LTE)","support de TRANS","METRO DE RATTACHEMENT","numéro de port","Date mise en service ","statut","OBS","","","",""
"810042","AIN TERZINE","AIN TERZINE"," 36.096101","  3.919030","NSN","FO","BORDJ OUKHRIS","2/0/8","21/01/2021","on air","SUT","","","",""
"810095","M'LAOUA BECHLOUL","BECHLOUL","36.282325","4.100179","NSN","FO","BECHLOUL","2/0/14","03/02/2021","on air","SUT","","","",""
"810080","OULED AISSA GUERROUMA","GUERROUMA","36.451355","3.413339","NSN","FO","lakhdaria","2/0/10","16/02/2021","on air","SUT","","","",""
"810093","LACHBOURE","RIDANE","36.029957"," 3.518129","NSN","FO","SOUR EL GHAZLAINE","2/0/39","13/04/2021","on air","SUT","","","",""
"810071","BIR AGHBALOU ATM","BIR AGHBALOU","36.265809"," 3.588337","NSN","FHN","AIN BESSEM","2/0/21","20/09/2021","on air","PA2021","","","",""
"810103","AIN ATHMANE","AIN TURK ","36.400834","3.828389","NSN","FO","CA 2 BOUIRA","","22/09/2021","on air","SUT","","","",""
"810102","BIR LAKEHAL","MAMOURA","36.022782","3.631478","NSN","FO","DECHMIA","2/0/5","11/10/2021","on air","SUT","","","",""
"810090","OULED SI DAOUD","MAMOURA","36.013951  ","3.592838","NSN","FO","DECHMIA","2/0/6","11/10/2021","on air","SUT","","","",""
"810077","HAMADIA","DECHMIA","36.137537","3.497489","NSN","FO","DECHMIA","2/0/8","13/10/2021","on air","SUT","","","",""
"810098","MARDJA TOUILLA","DECHMIA","36.146970","3.608637","NSN","FO","DECHMIA","2/0/7","13/10/2021","on air","SUT","","","",""
"810063","khalifat sur rn8","DIRAH"," 36.061736"," 3.754670","NSN","FO","SEG","2/0/21","08/11/2021","on air","SUT","","","",""
"810061","TAGHZOUT RSS","TAGHZOUT","36.408275","3.958636","NSN","FO","CA1 BOUIRA","3/0/32","21/11/2021","on air","PA2021","","","",""
"810049","IGHZER BOULGHAME","AHL EL KSAR","36.259202","4.067450","NSN","FO","AHL EL KSAR","2/0/4","23/11/2021","on air","PA2021","","","",""
"810082","OULED BOUKARNE","Z'barbar","36.497845","3.552568","NSN","FO","LAKHDARIA","2/0/39","02/12/2021","on air","SUT","","","",""
"810065","DRAA LABIAD","DECHMIA"," 36.102229","  3.606567","NSN","FO","DECHMIA","2/0/9","13/12/2021","on air","SUT","","","",""
"810064","MAGHNINE","BORDJ OKHRIS","36.057436","3.883648","NSN","FO","BORDJ OKHRIS","2/0/23","15/12/2021","on air","SUT","","","",""
"810048","TALAMINE","AHL EL KSAR","36.234946","4.021859","NSN","FHN","AHL EL KSAR","2/0/5","13/01/2022","on air","PA2021","","","",""
